Model ,Type ,RMSE ,MAE,NSE,R2
XGB Linear,Base approach,0.118,0.808,0.438,0.477
XGB Linear,Cluster approach,0.092,0.552,0.661,0.682
XGB Linear,Sampling approach,0.093,0.693,0.647,0.649
RRF,Base approach,0.070,0.274,0.800,0.868
RRF,Cluster approach,0.061,0.237,0.848,0.892
RRF,Sampling approach,0.064,0.400,0.833,0.869
XGB Tree,Base approach,0.114,0.726,0.477,0.564
XGB Tree,Cluster approach,0.102,0.641,0.578,0.635
XGB Tree,Sampling approach,0.101,0.826,0.584,0.612
KNN,Base approach,0.125,0.795,0.373,0.422
KNN,Cluster approach,0.113,0.701,0.485,0.518
KNN,Sampling approach,0.112,0.846,0.489,0.503
